Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Produtor,Genero,Jogo
.hack//G.U. Last Recode,2017.0,Role-Playing,Namco Bandai Games,0.1,0.04,0.08,0.03,0.24,86,11,0
Ride,2015.0,Racing,Milestone S.r.l.,0.04,0.13,0.03,0.03,0.24,83,10,536
Just Dance 2017,2016.0,Misc,Ubisoft,0.08,0.12,0.0,0.04,0.24,140,5,317
The Escapists 2,2017.0,Action,Sold Out,0.04,0.16,0.0,0.04,0.24,111,0,654
Transformers: Devastation,2015.0,Action,Activision,0.11,0.09,0.0,0.04,0.24,8,0,720
Darksiders II,2015.0,Action-Adventure,Nordic Games,0.1,0.1,0.0,0.04,0.24,91,1,132
Jikkyou Powerful Pro Baseball 2016,2016.0,Sports,Konami Digital Entertainment,0.0,0.0,0.24,0.0,0.24,70,14,310
The Elder Scrolls Online: Morrowind,2017.0,MMO,Bethesda Softworks,0.11,0.09,0.0,0.04,0.24,19,4,651
Digimon World: Next Order,2017.0,Role-Playing,Namco Bandai Games,0.13,0.05,0.02,0.04,0.24,86,11,164
theHunter: Call of the Wild,2017.0,Shooter,Astragon,0.19,0.0,0.0,0.04,0.24,12,12,804
Tony Hawk's Pro Skater 5,2015.0,Sports,Activision,0.11,0.08,0.0,0.04,0.23,8,14,706
Angry Birds: Star Wars,2013.0,Puzzle,Activision,0.11,0.09,0.0,0.04,0.23,8,9,24
Elex,2017.0,Role-Playing,THQ Nordic,0.03,0.16,0.0,0.04,0.23,121,11,209
RIGS: Mechanized Combat League,2016.0,Action,Sony Interactive Entertainment,0.11,0.06,0.02,0.04,0.23,113,0,509
Transformer: Rise of the Dark Spark,2014.0,Shooter,Activision,0.08,0.11,0.01,0.04,0.23,8,12,719
Dead Island Definitive Collection,2016.0,Action,Deep Silver,0.09,0.08,0.03,0.03,0.23,35,0,138
Metal Gear Survive,2018.0,Action,Konami Digital Entertainment,0.08,0.06,0.05,0.03,0.23,70,0,393
Singstar Celebration,2017.0,Music,Sony Interactive Entertainment,0.04,0.15,0.0,0.03,0.23,113,6,584
Dead by Daylight,2017.0,Action,505 Games,0.11,0.06,0.02,0.04,0.22,3,0,142
Attack on Titan 2,2018.0,Action,Koei Tecmo,0.09,0.04,0.06,0.03,0.22,69,0,48
The Wolf Among Us,2014.0,Adventure,Telltale Games,0.11,0.07,0.0,0.04,0.22,130,2,694
Micro Machines: World Series,2017.0,Racing,Codemasters,0.03,0.16,0.0,0.03,0.22,27,10,394
Bladestorm: Nightmare,2015.0,Action,Tecmo Koei,0.11,0.04,0.03,0.03,0.22,129,0,79
Zombie Army Trilogy,2015.0,Shooter,Rebellion Developments,0.06,0.13,0.0,0.03,0.22,103,12,800
Outlast Trinity,2017.0,Action,Warner Bros. Interactive Entertainment,0.09,0.09,0.0,0.04,0.22,145,0,465
EVE: Valkyrie,2016.0,Shooter,Sony Interactive Entertainment,0.11,0.06,0.0,0.04,0.21,113,12,204
Senran Kagura: Peach Beach Splash,2017.0,Action,PQube,0.09,0.02,0.08,0.02,0.21,95,0,573
Ys VIII: Lacrimosa of Dana,2017.0,Role-Playing,NIS America,0.08,0.04,0.08,0.02,0.21,85,11,795
Bound By Flame,2014.0,Action,Focus Home Interactive,0.08,0.09,0.0,0.04,0.21,45,0,90
NBA Live 16,2015.0,Sports,EA Sports,0.13,0.05,0.0,0.04,0.21,40,14,425
7 Days to Die,2016.0,Action,Telltale Games,0.09,0.08,0.0,0.03,0.21,130,0,1
Dynasty Warriors 8: Empires,2014.0,Misc,Tecmo Koei,0.07,0.07,0.04,0.03,0.21,129,5,197
Dragon's Dogma,2017.0,Role-Playing,Capcom,0.07,0.07,0.03,0.03,0.21,25,11,188
Godzilla (2015),2014.0,Action,Namco Bandai Games,0.11,0.03,0.03,0.03,0.2,86,0,268
